name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
민상호,2024-08-11,31,3,6,3,5 주회,BS,주의
민상호,2026-03-20,12,1,2,2,5 주회,BS,경고
박건수,2025-02-09,6,3,12,7,5 주회,BS,주의
박경태,2022-09-18,37,3,1,5,5 주회,BS,주의
박경태,2023-05-13,19,2,5,2,5 주회,BS,주의
박경태,2023-09-22,38,1,2,1,5 주회,BS,주의
박경태,2023-12-09,48,2,2,3,5 주회,BS,주의
박경태,2024-08-11,31,3,4,3,5 주회,3코너,주의
박경태,2025-03-03,9,4,3,1,5 주회,BS,주의
박경태,2025-03-30,13,3,3,4,1 주회,HS,경고
박경태,2025-04-26,17,2,3,7,5 주회,BS,주의
박경태,2025-06-14,24,2,1,6,5 주회,BS,주의
박경호,2026-03-21,12,2,16,1,3 주회,BS,주의
박동수,2025-02-28,9,1,9,1,5 주회,BS,주의
박민오,2022-01-23,3,3,9,1,4 주회,HS,주의
박민오,2022-09-03,35,2,10,3,5 주회,2코너,경고
박병하,2022-01-07,1,1,14,1,5 주회,3코너,주의
박병하,2023-02-03,5,1,13,3,4 주회,HS,주의
박병하,2024-05-19,19,3,16,5,5 주회,BS,주의
박상서,2025-06-20,25,1,7,1,5 주회,BS,주의
박상서,2025-09-05,36,1,12,6,5 주회,BS,주의
박상훈,2022-12-09,49,1,7,1,5 주회,2코너,경고
박상훈,2024-10-20,41,3,6,4,4 주회,HS,주의
박성근,2022-03-18,11,1,4,2,5 주회,2코너,주의
박성근,2023-10-28,42,2,11,6,5 주회,BS,주의
박성순,2024-07-26,29,1,10,3,5 주회,BS,주의
박성호,2024-02-04,5,3,9,3,5 주회,3코너,주의
박승민,2024-05-04,17,2,13,5,5 주회,BS,주의
박승민,2024-05-24,20,1,14,4,5 주회,결승선전,주의
박승민,2024-06-15,23,2,13,2,5 주회,BS,주의
박승민,2024-11-23,46,2,8,4,3 주회,4코너,주의
박승민,2025-03-09,10,3,6,3,3 주회,4코너,주의
박승민,2026-01-24,4,2,9,4,5 주회,BS,경고
박용범,2022-02-26,8,2,15,1,5 주회,BS,주의
박용범,2024-01-26,4,1,13,1,5 주회,3코너,주의
박용범,2024-11-02,43,2,13,4,5 주회,3코너,경고
박유찬,2022-04-30,17,2,1,6,5 주회,2코너,주의
박윤하,2022-05-20,20,1,9,2,5 주회,BS,주의
박윤하,2023-11-18,45,2,11,2,3 주회,4코너,주의
박윤하,2025-09-28,39,3,10,4,4 주회,HS,주의
박인찬,2026-01-24,4,2,2,4,4 주회,HS,주의
박일영,2025-01-05,1,3,1,1,5 주회,BS,주의
박일호,2022-04-16,15,2,13,1,5 주회,결승선전,주의
박일호,2024-05-17,19,1,14,6,5 주회,결승선전,주의
박정욱,2022-02-13,6,3,9,1,5 주회,BS,주의
박정욱,2022-11-27,47,3,5,4,5 주회,3코너,주의
박제원,2026-01-09,2,1,4,6,3 주회,4코너,주의
박종승,2022-08-20,33,2,3,6,5 주회,결승선전,경고
박종승,2025-07-25,30,1,5,5,5 주회,BS,주의
박종태,2023-11-17,45,1,9,2,5 주회,2코너,주의
박종현,2023-06-17,24,2,6,4,5 주회,BS,주의
박종현,2025-01-03,1,1,8,1,5 주회,BS,주의
박준성,2024-02-16,6,1,8,1,4 주회,HS,주의
박진영,2025-12-13,49,2,15,2,3 주회,4코너,주의
박진우,2022-10-16,41,3,7,1,5 주회,BS,경고
박진우,2024-01-06,1,2,10,2,5 주회,3코너,주의
박진우,2024-08-31,34,2,8,6,5 주회,BS,주의
박진철,2023-02-26,8,3,15,5,5 주회,3코너,주의
박진철,2024-07-26,29,1,15,4,5 주회,3코너,주의
박진홍,2022-03-04,9,1,1,2,5 주회,BS,주의
박찬수,2022-03-05,9,2,3,1,5 주회,3코너,주의
박창순,2022-07-09,27,2,2,3,5 주회,3코너,주의
박창순,2022-08-20,33,2,1,6,5 주회,1코너,주의
박철성,2022-12-31,52,2,14,7,5 주회,BS,주의
박태호,2026-02-07,6,2,3,1,5 주회,BS,주의
박효진,2022-06-11,23,2,3,5,5 주회,BS,주의
박효진,2022-10-22,42,2,1,1,5 주회,결승선전,주의
박효진,2024-07-12,27,1,4,3,5 주회,BS,주의
방극산,2024-09-01,34,3,6,5,3 주회,BS,주의
방극산,2025-01-26,4,3,8,1,3 주회,4코너,주의
배민구,2022-02-11,6,1,12,5,5 주회,BS,주의
배민구,2023-05-21,20,3,16,4,5 주회,BS,주의
배민구,2023-09-01,35,1,15,6,5 주회,BS,주의
배민구,2023-09-22,38,1,12,6,5 주회,BS,주의
배민구,2023-12-01,47,1,14,1,5 주회,BS,주의
배민구,2025-12-07,48,3,14,5,5 주회,BS,주의
배석현,2023-10-29,42,3,3,5,5 주회,3코너,주의
배석현,2024-11-24,46,3,4,1,4 주회,HS,주의
배수철,2025-09-26,39,1,12,1,3 주회,4코너,주의
배수철,2026-01-31,5,2,16,2,3 주회,3코너,주의
배정현,2022-11-13,45,3,12,5,5 주회,3코너,주의
배준호,2022-09-24,38,2,8,3,5 주회,결승선전,경고
배준호,2023-07-08,27,2,2,1,5 주회,3코너,주의
배학성,2023-02-10,6,1,6,3,5 주회,BS,주의
배학성,2023-08-26,34,2,2,5,5 주회,1코너,주의
백동호,2024-10-25,42,1,8,6,5 주회,결승선전,경고
백동호,2024-11-01,43,1,12,2,5 주회,BS,주의
백동호,2025-03-01,9,2,2,2,5 주회,2코너,경고
백동호,2026-03-20,12,1,7,1,5 주회,BS,주의
백장문,2022-11-25,47,1,3,1,5 주회,1코너,주의
서동방,2022-11-18,46,1,4,7,5 주회,BS,주의
서동방,2022-12-18,50,3,4,6,5 주회,3코너,주의
서동방,2022-12-30,52,1,2,2,5 주회,BS,주의
서동방,2023-01-15,2,3,2,3,5 주회,결승선전,주의
서동방,2023-03-31,13,1,2,2,5 주회,BS,주의
서동방,2024-02-02,5,1,2,3,5 주회,BS,주의
서동방,2025-03-15,11,2,4,3,5 주회,BS,주의
서동방,2025-07-18,29,1,3,1,5 주회,BS,주의
서우승,2022-05-01,17,3,3,2,5 주회,BS,주의
서우승,2023-02-25,8,2,5,1,5 주회,BS,주의
서우승,2023-04-02,13,3,2,3,4 주회,HS,주의
서우승,2023-04-14,15,1,1,3,5 주회,BS,주의
서우승,2024-05-24,20,1,4,2,5 주회,결승선전,경고
서우승,2024-05-26,20,3,3,1,5 주회,BS,주의
서우승,2024-12-20,50,1,2,4,5 주회,결승선전,실격
서한글,2026-01-02,1,1,4,5,5 주회,BS,주의
성낙송,2022-04-03,13,3,15,5,5 주회,BS,주의
성용환,2025-07-05,27,2,3,5,3 주회,2코너,주의
성정후,2022-02-20,7,3,10,2,5 주회,BS,주의
성정후,2024-06-16,23,3,12,4,3 주회,HS,주의
손동진,2022-04-03,13,3,10,2,5 주회,1코너,주의
손동진,2022-09-17,37,2,11,2,5 주회,BS,경고
손동진,2026-01-24,4,2,6,1,5 주회,1코너,주의
